Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
K7EL11,K7EL11_HUMAN,ACSBG2,long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),Homo sapiens (Human),,membrane [GO:0016020],GO:0005524; GO:0006631; GO:0016020; GO:0016874,ENST00000588722.5;
A0A804HK74,A0A804HK74_HUMAN,TUBGCP2,Gamma-tubulin complex component,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000256|RuleBase:RU363050}.",cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922],GO:0000922; GO:0005737; GO:0005815; GO:0005874; GO:0007020; GO:0043015,ENST00000684487.1;
A0A7P0T8Z7,A0A7P0T8Z7_HUMAN,SNX9,Sorting nexin 9,Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000256|ARBA:ARBA00004156}.,cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0000281; GO:0005829; GO:0005886; GO:0006886; GO:0006897; GO:0031410; GO:0035091,ENST00000681138.1;
A0A2R8Y690,A0A2R8Y690_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000644189.1;
A0A2R8YG59,A0A2R8YG59_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000644535.1;
M0QYA9,M0QYA9_HUMAN,FCHO1,FCH and mu domain containing endocytic adaptor 1,Homo sapiens (Human),"SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004283}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004283}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004283}.",clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0005654; GO:0005829; GO:0005905; GO:0006897,ENST00000598539.6;ENST00000699198.1;ENST00000699199.1;ENST00000699213.1;
A0A0K0K1K7,A0A0K0K1K7_HUMAN,HEL-S-304 PGLS hCG_1778174,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Homo sapiens (Human),,,GO:0005975; GO:0006098; GO:0017057,
A0A384NY94,A0A384NY94_HUMAN,,Epididymis secretory sperm binding protein,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.",cytoplasm [GO:0005737]; microtubule [GO:0005874],GO:0005516; GO:0005737; GO:0005874; GO:0008017; GO:0030507; GO:0031175,
A0A7I2V5B2,A0A7I2V5B2_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000676491.1;
A0A7I2YQU0,A0A7I2YQU0_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000678914.1;
H0Y7R8,H0Y7R8_HUMAN,AFDN,"Afadin, adherens junction formation factor",Homo sapiens (Human),,cell junction [GO:0030054]; cell-cell junction [GO:0005911]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886],GO:0005654; GO:0005886; GO:0005911; GO:0007165; GO:0030054,ENST00000423229.1;
C9JBJ7,C9JBJ7_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.",Arp2/3 protein complex [GO:0005885]; nucleus [GO:0005634],GO:0003779; GO:0005634; GO:0005885; GO:0034314,ENST00000414376.5;
C9K057,C9K057_HUMAN,ARPC1B,Actin related protein 2/3 complex subunit 1B,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.",Arp2/3 protein complex [GO:0005885]; nucleus [GO:0005634],GO:0003779; GO:0005634; GO:0005885; GO:0034314,ENST00000443222.6;
F2Z2B9,F2Z2B9_HUMAN,TUBGCP2,Gamma-tubulin complex component,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}.",centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922],GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007020; GO:0043015,ENST00000482278.5;
H0YA98,H0YA98_HUMAN,AFDN,"Afadin, adherens junction formation factor",Homo sapiens (Human),,cell junction [GO:0030054]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0005829; GO:0005886; GO:0005911; GO:0030054,ENST00000497596.2;
A0A2R8Y5R1,A0A2R8Y5R1_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000642516.1;
B4DDH2,B4DDH2_HUMAN,STK33,Serine/threonine-protein kinase 33 (EC 2.7.11.1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000256|ARBA:ARBA00004556}.",,GO:0004674; GO:0005524,ENST00000534493.5;
C9J6X7,C9J6X7_HUMAN,STK33,non-specific serine/threonine protein kinase (EC 2.7.11.1),Homo sapiens (Human),,,GO:0004672; GO:0005524,ENST00000422559.6;
E7ET92,E7ET92_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000439951.6;ENST00000645520.1;
A0A7I2V2X3,A0A7I2V2X3_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000677407.1;
A0A7I2V327,A0A7I2V327_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000677567.1;
A0A7I2V419,A0A7I2V419_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000678737.1;
A0A804HI27,A0A804HI27_HUMAN,TUBGCP2,Gamma-tubulin complex component,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}.",centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922],GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007020; GO:0043015,ENST00000682990.1;
B3KTU7,B3KTU7_HUMAN,,Gamma-tubulin complex component,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}.",centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922],GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007020; GO:0043015,
H7C1Y7,H7C1Y7_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000444548.6;
A0A087WXC5,A0A087WXC5_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000620965.5;
A0A7I2V594,A0A7I2V594_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000678455.1;
C9J6X0,C9J6X0_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000443626.5;
Q6IMJ8,Q6IMJ8_HUMAN,OLFM1 hCG_20208,"NOELIN1_V1 (Olfactomedin 1, isoform CRA_c)",Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}. Synapse {ECO:0000256|ARBA:ARBA00034103}.,extracellular region [GO:0005576]; synapse [GO:0045202],GO:0005576; GO:0045202,
E9PFY5,E9PFY5_HUMAN,AFDN,"Afadin, adherens junction formation factor",Homo sapiens (Human),,cell junction [GO:0030054]; cell-cell junction [GO:0005911]; plasma membrane [GO:0005886],GO:0005886; GO:0005911; GO:0007165; GO:0030054,ENST00000400825.8;
F8W9I4,F8W9I4_HUMAN,AFDN,"Afadin, adherens junction formation factor",Homo sapiens (Human),,cell junction [GO:0030054]; cell-cell junction [GO:0005911]; plasma membrane [GO:0005886],GO:0005886; GO:0005911; GO:0007165; GO:0030054,ENST00000400824.8;
H0Y948,H0Y948_HUMAN,AFDN,"Afadin, adherens junction formation factor",Homo sapiens (Human),,cell junction [GO:0030054]; cell-cell junction [GO:0005911]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886],GO:0005886; GO:0005911; GO:0016607; GO:0030054,ENST00000485634.7;
U3KQG9,U3KQG9_HUMAN,PGPEP1,Pyroglutamyl-peptidase I (EC 3.4.19.3),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytosol [GO:0005829],GO:0005829; GO:0006508; GO:0016920,ENST00000595066.5;
A0A0C3SFZ9,A0A0C3SFZ9_HUMAN,FCHO1 hCG_2000568,"FCH and mu domain containing endocytic adaptor 1 (FCH domain only 1, isoform CRA_b)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004283}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004283}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004283}.",clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0005654; GO:0005829; GO:0005905; GO:0006897,ENST00000594202.6;
A0A2R8YD49,A0A2R8YD49_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000644702.1;
A0A2R8YDU7,A0A2R8YDU7_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000645442.1;
A0A2R8YEX0,A0A2R8YEX0_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000644775.1;
A0A2R8YFT0,A0A2R8YFT0_HUMAN,OSBPL2 hCG_40342,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000642932.1;
A0A2R8YG95,A0A2R8YG95_HUMAN,OSBPL2,Oxysterol-binding protein,Homo sapiens (Human),,,GO:0006869; GO:0008289,ENST00000645426.1;
A0A7I2V2N6,A0A7I2V2N6_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759],GO:0005759; GO:0006120,ENST00000679183.1;
A0A7I2V2W9,A0A7I2V2W9_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759],GO:0005759; GO:0006120,ENST00000677490.1;ENST00000679308.1;
A0A7I2V458,A0A7I2V458_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000677263.1;
A0A7I2V5L0,A0A7I2V5L0_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759],GO:0005759; GO:0006120,ENST00000677764.1;
E7ESZ7,E7ESZ7_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000404554.5;
H7C2X4,H7C2X4_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000448880.6;
A0A7I2V2F6,A0A7I2V2F6_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305}.,mitochondrial matrix [GO:0005759],GO:0005759; GO:0006120,ENST00000677395.1;ENST00000678468.1;
A0A7I2V3H5,A0A7I2V3H5_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000677294.1;
A0A7I2V438,A0A7I2V438_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000679158.1;
A0A7I2V4N8,A0A7I2V4N8_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000678289.1;
A0A7I2V5U7,A0A7I2V5U7_HUMAN,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305, ECO:0000256|PIRNR:PIRNR000543}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0005739; GO:0005759; GO:0006120,ENST00000676782.1;
A0A3B3ISF6,A0A3B3ISF6_HUMAN,KLHDC7B,Kelch domain containing 7B,Homo sapiens (Human),,,,ENST00000648057.3;
A0A494BZW5,A0A494BZW5_HUMAN,ZBTB46,Zinc finger and BTB domain containing 46,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,,,ENST00000650966.1;
A0AAQ5BI09,A0AAQ5BI09_HUMAN,MLLT1,MLLT1 super elongation complex subunit,Homo sapiens (Human),,,,ENST00000585588.2;
P41091,IF2G_HUMAN,EIF2S3 EIF2G,Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma X) (eIF2-gamma X) (eIF2gX),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q09130}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850]; extracellular exosome [GO:0070062],GO:0001731; GO:0002183; GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005850; GO:0006413; GO:0008135; GO:0045296; GO:0070062; GO:1990856,ENST00000253039.9;
Q13263,TIF1B_HUMAN,TRIM28 KAP1 RNF96 TIF1B,Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10330177, ECO:0000269|PubMed:17178852, ECO:0000269|PubMed:20858735, ECO:0000269|PubMed:23665872, ECO:0000269|PubMed:24741090, ECO:0000269|PubMed:25593309, ECO:0000269|PubMed:9016654}. Note=Associated with centromeric heterochromatin during cell differentiation through CBX1 (By similarity). Localizes to sites of DNA damage (PubMed:25593309). {ECO:0000250|UniProtKB:Q62318, ECO:0000269|PubMed:25593309}.",euchromatin [GO:0000791]; heterochromatin [GO:0000792]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription regulator complex [GO:0090575],GO:0000122; GO:0000791; GO:0000792; GO:0001837; GO:0003677; GO:0003682; GO:0003713; GO:0003714; GO:0003723; GO:0004672; GO:0004842; GO:0005634; GO:0005654; GO:0006281; GO:0006325; GO:0006346; GO:0007566; GO:0008270; GO:0016925; GO:0019789; GO:0031625; GO:0032991; GO:0035851; GO:0042307; GO:0043161; GO:0044790; GO:0045087; GO:0045739; GO:0045869; GO:0045892; GO:0045893; GO:0060028; GO:0060669; GO:0061630; GO:0070087; GO:0071514; GO:0090575; GO:1990841,ENST00000253024.10 [Q13263-1];ENST00000341753.10 [Q13263-2];
Q9BUE0,MED18_HUMAN,MED18,Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0003712; GO:0005634; GO:0005654; GO:0016592; GO:0032968; GO:0051123; GO:0060261; GO:0070847,ENST00000373842.9;ENST00000398997.2;ENST00000645794.2;ENST00000647352.1;
O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell junction {ECO:0000250}. Cytoplasm. Nucleus. Cytoplasm, myofibril, sarcomere, Z line. Note=In neonatal cardiomyocytes, distributed throughout the cytosol, accumulating in the intercalated disks which occur at the Z line of cardiomyocytes and connect adjacent cells, and also located in the nucleus; dissociates from the Z line following an increase in cytosolic Ca(2+) concentration (By similarity). In muscle precursor cells, localizes predominantly to the nucleus and to a lesser extent to the cytoplasm at the proliferative phase, while mainly localizing to the cytoplasm at the differentiation phase (By similarity). Colocalizes with ALDOA and alpha-actinin on both sides of the Z line of skeletal muscle; dissociates rapidly from the Z line following an increase in cytosolic Ca(2+) concentration. {ECO:0000250}.",anchoring junction [GO:0070161]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; Z disc [GO:0030018],GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006000; GO:0006002; GO:0006094; GO:0030018; GO:0030388; GO:0042132; GO:0042802; GO:0046872; GO:0070062; GO:0070161,ENST00000375337.4;
Q99956,DUS9_HUMAN,DUSP9 MKP4,Dual specificity protein phosphatase 9 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 4) (MAP kinase phosphatase 4) (MKP-4),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634],GO:0000165; GO:0004721; GO:0004722; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0007165; GO:0007254; GO:0008138; GO:0008330; GO:0017017; GO:0033550; GO:0070371; GO:0070373,ENST00000342782.4;ENST00000370167.8;
Q9BUY5,ZN426_HUMAN,ZNF426,Zinc finger protein 426,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,nucleus [GO:0005634],GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008270,ENST00000253115.7;ENST00000535489.5;
Q9NS82,AAA1_HUMAN,SLC7A10 ASC1,Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P63115}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with OLIG2 in astrocytic processes. Localizes to the plasma membrane in mature adipocytes and to intracellular structures in preadipocytes. {ECO:0000250|UniProtKB:P63115}.,membrane [GO:0016020]; plasma membrane [GO:0005886],GO:0005886; GO:0006865; GO:0015175; GO:0015179; GO:0015194; GO:0015804; GO:0015816; GO:0016020; GO:0042941; GO:0042942; GO:0060094; GO:1903444,ENST00000253188.8;
O75146,HIP1R_HUMAN,HIP1R HIP12 KIAA0655,Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region. Endomembrane system. Cytoplasmic vesicle, clathrin-coated vesicle membrane. Note=Membrane-associated protein, mainly localized at the endocytic compartments and in the perinuclear region.",apical plasma membrane [GO:0016324]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; clathrin-coated vesicle membrane [GO:0030665]; cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic endocytic zone [GO:0098843]; ruffle membrane [GO:0032587]; synaptic membrane [GO:0097060],GO:0005546; GO:0005547; GO:0005739; GO:0005829; GO:0005886; GO:0005905; GO:0006897; GO:0006898; GO:0007015; GO:0014069; GO:0016324; GO:0017124; GO:0030100; GO:0030136; GO:0030276; GO:0030665; GO:0030837; GO:0030864; GO:0032051; GO:0032587; GO:0032839; GO:0032956; GO:0034316; GO:0035091; GO:0035615; GO:0042802; GO:0042803; GO:0042981; GO:0043025; GO:0043066; GO:0043197; GO:0043231; GO:0043325; GO:0045742; GO:0046982; GO:0048268; GO:0048471; GO:0050821; GO:0051015; GO:0055123; GO:0060453; GO:0080025; GO:0097060; GO:0097193; GO:0098843; GO:0098978; GO:0099173; GO:1901030; GO:1905445; GO:2000369; GO:2000588,ENST00000253083.9 [O75146-1];
P51805,PLXA3_HUMAN,PLXNA3 PLXN4 SEX,Plexin-A3 (Plexin-4) (Semaphorin receptor SEX),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116],GO:0002116; GO:0005886; GO:0007411; GO:0007416; GO:0008045; GO:0017154; GO:0021612; GO:0021628; GO:0021637; GO:0021766; GO:0021785; GO:0021828; GO:0021860; GO:0030334; GO:0048843; GO:0048846; GO:0050919; GO:0051495; GO:0071526; GO:0097485,ENST00000369682.4;
Q9UPT8,ZC3H4_HUMAN,ZC3H4 C19orf7 KIAA1064,Zinc finger CCCH domain-containing protein 4,Homo sapiens (Human),SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:33913806}. Note=Recruited at sites of high RNA polymerase II occupancy. {ECO:0000269|PubMed:33913806}.,chromosome [GO:0005694]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0003723; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006353; GO:0008270; GO:0032785; GO:0071027; GO:0110064; GO:0140744; GO:1990841,ENST00000253048.10;
